cou,sex,year,value,fillKey
ISL,WOMEN,2011,77.0,70-80
ISL,WOMEN,2012,77.7,70-80
ISL,WOMEN,2013,78.5,70-80
ISL,WOMEN,2014,78.2,70-80
ITA,WOMEN,2000,35.8,30-40
ITA,WOMEN,2001,36.4,30-40
ITA,WOMEN,2002,36.8,30-40
ITA,WOMEN,2003,37.1,30-40
ITA,WOMEN,2004,38.5,30-40
ITA,WOMEN,2005,38.1,30-40
ITA,WOMEN,2006,38.2,30-40
ITA,WOMEN,2007,37.9,30-40
ITA,WOMEN,2008,39.1,30-40
ITA,WOMEN,2009,38.6,30-40
ITA,WOMEN,2010,38.6,30-40
ITA,WOMEN,2011,38.8,30-40
ITA,WOMEN,2012,40.1,40-50
ITA,WOMEN,2013,40.1,40-50
ITA,WOMEN,2014,40.5,40-50
LTU,WOMEN,2000,54.4,50-60
LTU,WOMEN,2001,53.0,50-60
LTU,WOMEN,2002,52.5,50-60
LTU,WOMEN,2003,52.8,50-60
LTU,WOMEN,2004,51.5,50-60
LTU,WOMEN,2005,50.8,50-60
LTU,WOMEN,2006,50.2,50-60
LTU,WOMEN,2007,50.2,50-60
LTU,WOMEN,2008,50.5,50-60
LTU,WOMEN,2009,52.0,50-60
LTU,WOMEN,2010,52.5,50-60
LTU,WOMEN,2011,52.7,50-60
LTU,WOMEN,2012,53.2,50-60
LTU,WOMEN,2013,52.9,50-60
LTU,WOMEN,2014,53.9,50-60
LUX,WOMEN,2000,41.4,40-50
LUX,WOMEN,2001,42.4,40-50
LUX,WOMEN,2002,43.5,40-50
LUX,WOMEN,2003,43.7,40-50
LUX,WOMEN,2004,45.4,40-50
LUX,WOMEN,2005,46.3,40-50
LUX,WOMEN,2006,49.4,40-50
LUX,WOMEN,2007,50.4,50-60
LUX,WOMEN,2008,48.1,40-50
LUX,WOMEN,2009,49.9,40-50
LUX,WOMEN,2010,49.8,40-50
LUX,WOMEN,2011,50.3,50-60
LUX,WOMEN,2012,51.9,50-60
LUX,WOMEN,2013,52.5,50-60
LUX,WOMEN,2014,53.4,50-60
LVA,WOMEN,2000,49.4,40-50
LVA,WOMEN,2001,50.1,50-60
LVA,WOMEN,2002,50.5,50-60
LVA,WOMEN,2003,50.8,50-60
LVA,WOMEN,2004,51.3,50-60
LVA,WOMEN,2005,50.7,50-60
LVA,WOMEN,2006,52.2,50-60
LVA,WOMEN,2007,53.1,50-60
LVA,WOMEN,2008,55.0,50-60
LVA,WOMEN,2009,54.5,50-60
LVA,WOMEN,2010,53.9,50-60
LVA,WOMEN,2011,53.1,50-60
LVA,WOMEN,2012,54.3,50-60
LVA,WOMEN,2013,54.0,50-60
LVA,WOMEN,2014,53.4,50-60
NLD,WOMEN,2000,53.7,50-60
NLD,WOMEN,2001,53.8,50-60
NLD,WOMEN,2002,55.0,50-60
NLD,WOMEN,2003,54.5,50-60
NLD,WOMEN,2004,55.1,50-60
NLD,WOMEN,2005,55.8,50-60
NLD,WOMEN,2006,56.3,50-60
NLD,WOMEN,2007,57.6,50-60
NLD,WOMEN,2008,58.4,50-60
NLD,WOMEN,2009,58.9,50-60
NLD,WOMEN,2010,58.9,50-60
NLD,WOMEN,2011,58.9,50-60
NLD,WOMEN,2012,59.5,50-60
NLD,WOMEN,2013,59.4,50-60
