cou,sex,year,men,fillKey
PRT,MEN,2003,69.9,60-70
PRT,MEN,2004,69.4,60-70
PRT,MEN,2005,69.1,60-70
PRT,MEN,2006,69.3,60-70
PRT,MEN,2007,69.2,60-70
PRT,MEN,2008,68.9,60-70
PRT,MEN,2009,67.7,60-70
PRT,MEN,2010,67.2,60-70
PRT,MEN,2011,67.1,60-70
PRT,MEN,2012,66.3,60-70
PRT,MEN,2013,65.1,60-70
PRT,MEN,2014,64.5,60-70
SVK,MEN,2000,68.2,60-70
SVK,MEN,2001,68.9,60-70
SVK,MEN,2002,68.3,60-70
SVK,MEN,2003,68.3,60-70
SVK,MEN,2004,68.3,60-70
SVK,MEN,2005,68.3,60-70
SVK,MEN,2006,68.1,60-70
SVK,MEN,2007,67.7,60-70
SVK,MEN,2008,68.3,60-70
SVK,MEN,2009,68.1,60-70
SVK,MEN,2010,68.5,60-70
SVK,MEN,2011,68.0,60-70
SVK,MEN,2012,68.4,60-70
SVK,MEN,2013,68.1,60-70
SVK,MEN,2014,68.2,60-70
SVN,MEN,2000,64.2,60-70
SVN,MEN,2001,64.8,60-70
SVN,MEN,2002,64.1,60-70
SVN,MEN,2003,63.5,60-70
SVN,MEN,2004,65.9,60-70
SVN,MEN,2005,66.0,60-70
SVN,MEN,2006,65.7,60-70
SVN,MEN,2007,66.4,60-70
SVN,MEN,2008,65.6,60-70
SVN,MEN,2009,65.5,60-70
SVN,MEN,2010,65.3,60-70
SVN,MEN,2011,63.7,60-70
SVN,MEN,2012,63.0,60-70
SVN,MEN,2013,63.1,60-70
SVN,MEN,2014,63.3,60-70
SWE,MEN,2000,74.3,70-80
SWE,MEN,2001,74.3,70-80
SWE,MEN,2002,74.3,70-80
SWE,MEN,2003,73.9,70-80
SWE,MEN,2004,73.6,70-80
SWE,MEN,2005,75.2,70-80
SWE,MEN,2006,75.1,70-80
SWE,MEN,2007,73.9,70-80
SWE,MEN,2008,74.1,70-80
SWE,MEN,2009,73.5,70-80
SWE,MEN,2010,73.8,70-80
SWE,MEN,2011,73.9,70-80
SWE,MEN,2012,73.9,70-80
SWE,MEN,2013,74.2,70-80
SWE,MEN,2014,74.7,70-80
TUR,MEN,2000,73.7,70-80
TUR,MEN,2001,72.9,70-80
TUR,MEN,2002,71.6,70-80
TUR,MEN,2003,70.4,70-80
TUR,MEN,2004,70.3,70-80
TUR,MEN,2005,70.6,70-80
TUR,MEN,2006,69.9,60-70
TUR,MEN,2007,69.8,60-70
TUR,MEN,2008,70.1,70-80
TUR,MEN,2009,70.5,70-80
TUR,MEN,2010,70.8,70-80
TUR,MEN,2011,71.7,70-80
TUR,MEN,2012,71.0,70-80
TUR,MEN,2013,71.5,70-80
TUR,MEN,2014,71.3,70-80
