COU,SEX,Time,Value
LVA,ALL_PERSONS,2007,60.3
LVA,MEN,2007,69.1
LVA,WOMEN,2007,53.1
LVA,ALL_PERSONS,2008,61.5
LVA,MEN,2008,69.6
LVA,WOMEN,2008,55
LVA,ALL_PERSONS,2009,60.1
LVA,MEN,2009,67
LVA,WOMEN,2009,54.5
LVA,ALL_PERSONS,2010,58.9
LVA,MEN,2010,65
LVA,WOMEN,2010,53.9
LVA,ALL_PERSONS,2011,58.5
LVA,MEN,2011,65.3
LVA,WOMEN,2011,53.1
LVA,ALL_PERSONS,2012,59.7
LVA,MEN,2012,66.4
LVA,WOMEN,2012,54.3
LVA,ALL_PERSONS,2013,59.4
LVA,MEN,2013,66.1
LVA,WOMEN,2013,54
LVA,ALL_PERSONS,2014,59.3
LVA,MEN,2014,66.5
LVA,WOMEN,2014,53.4
LTU,ALL_PERSONS,2000,59.7
LTU,MEN,2000,66
LTU,WOMEN,2000,54.4
LTU,ALL_PERSONS,2001,58.5
LTU,MEN,2001,65.1
LTU,WOMEN,2001,53
LTU,ALL_PERSONS,2002,58.1
LTU,MEN,2002,64.8
LTU,WOMEN,2002,52.5
LTU,ALL_PERSONS,2003,58.2
LTU,MEN,2003,64.6
LTU,WOMEN,2003,52.8
LTU,ALL_PERSONS,2004,57
LTU,MEN,2004,63.5
LTU,WOMEN,2004,51.5
LTU,ALL_PERSONS,2005,56.3
LTU,MEN,2005,62.9
LTU,WOMEN,2005,50.8
LTU,ALL_PERSONS,2006,55.3
LTU,MEN,2006,61.3
LTU,WOMEN,2006,50.2
LTU,ALL_PERSONS,2007,55.5
LTU,MEN,2007,62
LTU,WOMEN,2007,50.2
LTU,ALL_PERSONS,2008,55.8
LTU,MEN,2008,62.2
LTU,WOMEN,2008,50.5
LTU,ALL_PERSONS,2009,56.5
LTU,MEN,2009,62
LTU,WOMEN,2009,52
LTU,ALL_PERSONS,2010,56.8
LTU,MEN,2010,62
LTU,WOMEN,2010,52.5
LTU,ALL_PERSONS,2011,57.4
LTU,MEN,2011,63.1
LTU,WOMEN,2011,52.7
LTU,ALL_PERSONS,2012,57.7
LTU,MEN,2012,63.2
LTU,WOMEN,2012,53.2
LTU,ALL_PERSONS,2013,58
LTU,MEN,2013,64.1
LTU,WOMEN,2013,52.9
LTU,ALL_PERSONS,2014,58.9
LTU,MEN,2014,65
LTU,WOMEN,2014,53.9
LUX,ALL_PERSONS,2000,53.4
LUX,MEN,2000,66.1
LUX,WOMEN,2000,41.4
LUX,ALL_PERSONS,2001,53.8
LUX,MEN,2001,65.7
LUX,WOMEN,2001,42.4
LUX,ALL_PERSONS,2002,54.8
LUX,MEN,2002,66.5
LUX,WOMEN,2002,43.5
LUX,ALL_PERSONS,2003,54.2
LUX,MEN,2003,65.1
LUX,WOMEN,2003,43.7
LUX,ALL_PERSONS,2004,55
LUX,MEN,2004,64.9
LUX,WOMEN,2004,45.4
LUX,ALL_PERSONS,2005,55.6
LUX,MEN,2005,65.1
LUX,WOMEN,2005,46.3
LUX,ALL_PERSONS,2006,55
LUX,MEN,2006,60.4
LUX,WOMEN,2006,49.4
LUX,ALL_PERSONS,2007,55.9
LUX,MEN,2007,61.3
LUX,WOMEN,2007,50.4
LUX,ALL_PERSONS,2008,56
LUX,MEN,2008,64.1
LUX,WOMEN,2008,48.1
LUX,ALL_PERSONS,2009,58.2
LUX,MEN,2009,66.6
LUX,WOMEN,2009,49.9
LUX,ALL_PERSONS,2010,57.7
LUX,MEN,2010,65.8
LUX,WOMEN,2010,49.8
LUX,ALL_PERSONS,2011,57.6
LUX,MEN,2011,65
LUX,WOMEN,2011,50.3
LUX,ALL_PERSONS,2012,58.8
LUX,MEN,2012,65.7
LUX,WOMEN,2012,51.9
LUX,ALL_PERSONS,2013,59.4
LUX,MEN,2013,66.3
LUX,WOMEN,2013,52.5
LUX,ALL_PERSONS,2014,60.1
LUX,MEN,2014,66.8
LUX,WOMEN,2014,53.4
NLD,ALL_PERSONS,2000,63.1
NLD,MEN,2000,72.7
NLD,WOMEN,2000,53.7
NLD,ALL_PERSONS,2001,63.1
NLD,MEN,2001,72.5
NLD,WOMEN,2001,53.8
NLD,ALL_PERSONS,2002,63.8
NLD,MEN,2002,72.9
NLD,WOMEN,2002,55
NLD,ALL_PERSONS,2003,63.1
NLD,MEN,2003,72
NLD,WOMEN,2003,54.5
NLD,ALL_PERSONS,2004,63.3
NLD,MEN,2004,71.8
NLD,WOMEN,2004,55.1
NLD,ALL_PERSONS,2005,63.6
NLD,MEN,2005,71.7
NLD,WOMEN,2005,55.8
NLD,ALL_PERSONS,2006,63.7
NLD,MEN,2006,71.4
NLD,WOMEN,2006,56.3
NLD,ALL_PERSONS,2007,64.8
NLD,MEN,2007,72.2
NLD,WOMEN,2007,57.6
NLD,ALL_PERSONS,2008,65.5
NLD,MEN,2008,72.8
NLD,WOMEN,2008,58.4
NLD,ALL_PERSONS,2009,65.6
NLD,MEN,2009,72.5
NLD,WOMEN,2009,58.9
NLD,ALL_PERSONS,2010,65.1
NLD,MEN,2010,71.5
NLD,WOMEN,2010,58.9
NLD,ALL_PERSONS,2011,64.8
NLD,MEN,2011,70.8
NLD,WOMEN,2011,58.9
NLD,ALL_PERSONS,2012,65.2
NLD,MEN,2012,71.1
NLD,WOMEN,2012,59.5
NLD,ALL_PERSONS,2013,65.2
NLD,MEN,2013,71.1
NLD,WOMEN,2013,59.4
NLD,ALL_PERSONS,2014,64.4
NLD,MEN,2014,70.5
NLD,WOMEN,2014,58.5
NOR,ALL_PERSONS,2000,73.5
NOR,MEN,2000,78
NOR,WOMEN,2000,68.9
NOR,ALL_PERSONS,2001,73.5
NOR,MEN,2001,77.7
NOR,WOMEN,2001,69.2
NOR,ALL_PERSONS,2002,73.5
NOR,MEN,2002,77.3
NOR,WOMEN,2002,69.7
NOR,ALL_PERSONS,2003,72.8
NOR,MEN,2003,76.6
NOR,WOMEN,2003,69
NOR,ALL_PERSONS,2004,72.6
NOR,MEN,2004,76.4
NOR,WOMEN,2004,68.8
NOR,ALL_PERSONS,2005,72.4
NOR,MEN,2005,76.2
NOR,WOMEN,2005,68.7
NOR,ALL_PERSONS,2006,72
NOR,MEN,2006,75.6
NOR,WOMEN,2006,68.3
NOR,ALL_PERSONS,2007,72.8
NOR,MEN,2007,76
NOR,WOMEN,2007,69.5
NOR,ALL_PERSONS,2008,73.9
NOR,MEN,2008,77.1
NOR,WOMEN,2008,70.7
NOR,ALL_PERSONS,2009,72.8
NOR,MEN,2009,75.6
NOR,WOMEN,2009,69.8
NOR,ALL_PERSONS,2010,71.9
NOR,MEN,2010,75
NOR,WOMEN,2010,68.7
NOR,ALL_PERSONS,2011,71.4
